E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
17.142850,0.61081000,0.64821200,0.60792000,0.65262400,0.64878800,0.64753800,0.64732500,0.64709600
17.180450,0.64777800,0.68402300,0.60559800,0.66625700,0.66487200,0.66310600,0.66270400,0.66237100
17.218040,0.68048900,0.71689500,0.61350000,0.67601700,0.67996100,0.67942400,0.67919400,0.67904700
17.255640,0.69903000,0.73650600,0.63603600,0.67321300,0.68574100,0.68733100,0.68752200,0.68774900
17.293230,0.70485900,0.73581500,0.66588300,0.65965500,0.67943200,0.68326100,0.68388700,0.68441700
17.330830,0.70335700,0.71533300,0.69743200,0.65581500,0.67033900,0.67472500,0.67550200,0.67606900
17.368420,0.69527200,0.68513500,0.72440500,0.66754700,0.66737300,0.66995600,0.67046400,0.67081100
17.406010,0.67601600,0.64832100,0.73535500,0.67949500,0.66648400,0.66618600,0.66623200,0.66625900
17.443610,0.64032900,0.61204000,0.72686400,0.68090800,0.66439700,0.66147500,0.66102200,0.66068700
17.481200,0.60097400,0.58940900,0.70583700,0.66760400,0.65513600,0.65241300,0.65196500,0.65161100
17.518800,0.58393700,0.58135900,0.67544600,0.65272700,0.64043400,0.63816800,0.63786600,0.63760100
17.556390,0.58900600,0.58465000,0.64037300,0.65056300,0.63601600,0.63246200,0.63190600,0.63144900
17.593980,0.59387700,0.59735700,0.60253300,0.65252600,0.64298800,0.63914900,0.63844200,0.63786900
17.631580,0.59287800,0.60832600,0.57481100,0.65229600,0.65392000,0.65189400,0.65139500,0.65097500
17.669170,0.59669000,0.61169700,0.57115800,0.64758700,0.66244400,0.66364500,0.66364800,0.66359500
17.706770,0.60846800,0.61669100,0.58928500,0.63829000,0.66248600,0.66758100,0.66837100,0.66893900
17.744360,0.62298300,0.63186800,0.61690500,0.62693400,0.65290700,0.65939600,0.66067000,0.66168800
17.781950,0.63310900,0.65207000,0.63970800,0.62025900,0.63852700,0.64378800,0.64487500,0.64578700
17.819550,0.63385900,0.66211100,0.64988500,0.62385900,0.62798700,0.63058400,0.63115800,0.63165100
17.857140,0.63801700,0.65997000,0.64899500,0.63362300,0.62785800,0.62752600,0.62753400,0.62754500
17.894740,0.65435800,0.66189100,0.64678900,0.64579900,0.63572700,0.63379300,0.63345400,0.63317900
17.932330,0.67221100,0.66943900,0.64924000,0.65422000,0.64614600,0.64401400,0.64356500,0.64320700
17.969920,0.68248300,0.67424300,0.65653500,0.65653100,0.65242900,0.65110600,0.65075100,0.65045000
18.007520,0.68837500,0.67560500,0.66639100,0.66208300,0.65927500,0.65799700,0.65765600,0.65734600
18.045110,0.69556000,0.67521600,0.67789100,0.67343100,0.67309900,0.67172200,0.67135300,0.67101300
18.082710,0.70114200,0.67767300,0.69278300,0.68477500,0.68726600,0.68680900,0.68662500,0.68640900
18.120300,0.69895800,0.68098100,0.70594500,0.69004900,0.69439400,0.69499000,0.69504500,0.69500100
18.157890,0.69377700,0.68393400,0.70791500,0.68490100,0.68916200,0.69081600,0.69113200,0.69128400
