E[1] [eV],Im(eps)_nk_20,Im(eps)_nk_22,Im(eps)_nk_24,Im(eps)_nk_26,Im(eps)_nk_28,Im(eps)_nk_30,Im(eps)_nk_32,Im(eps)_nk_34,Im(eps)_nk_36,Im(eps)_nk_38,Im(eps)_nk_40
10.563910,0.12374800,0.06830800,0.06428700,0.09301500,0.11374400,0.09750700,0.08647700,0.09018100,0.09768400,0.08298600,0.09431100
10.601500,0.11982300,0.06753500,0.06750100,0.10429500,0.10463700,0.09828600,0.08586600,0.08871800,0.09582900,0.08393400,0.09824600
10.639100,0.12323700,0.07193100,0.07505700,0.11514700,0.09138600,0.09588900,0.08754200,0.08966200,0.09489700,0.08469200,0.10054100
10.676690,0.12845400,0.08096000,0.08604800,0.11789600,0.08019000,0.09104800,0.09435500,0.09009200,0.09393100,0.08575800,0.10069900
10.714280,0.12520800,0.09076400,0.09572900,0.11573600,0.07317600,0.08663200,0.10453300,0.09048100,0.09365700,0.08694700,0.09819600
10.751880,0.11335700,0.09369400,0.09822900,0.11651000,0.07094600,0.08558800,0.11194700,0.09115600,0.09466700,0.09120900,0.09339800
10.789470,0.10053500,0.09026800,0.09668500,0.11724800,0.07364300,0.08870900,0.11390700,0.09192900,0.09733500,0.10019100,0.08994400
10.827070,0.09076800,0.08873000,0.09748500,0.11274700,0.08064700,0.09373800,0.11156400,0.09228800,0.09940900,0.11019900,0.08940400
10.864660,0.08684000,0.09344800,0.10131600,0.10726100,0.08983400,0.09778500,0.10704100,0.09260300,0.09847300,0.11549900,0.09086800
10.902250,0.08963500,0.10351900,0.10597600,0.10192600,0.09814800,0.10193900,0.10416100,0.09433500,0.09581200,0.11388200,0.09388900
10.939850,0.09575900,0.11521200,0.10836200,0.09544800,0.10645100,0.10626900,0.10409200,0.09815900,0.09483900,0.10887000,0.09708700
10.977440,0.09912700,0.12562500,0.10588800,0.08977400,0.11564300,0.10616700,0.10318300,0.10445100,0.09639600,0.10521000,0.09955400
11.015040,0.09955300,0.13031400,0.09929100,0.08733000,0.12271000,0.10087900,0.10025800,0.11277300,0.09811600,0.10472100,0.10330000
11.052630,0.10076600,0.12528500,0.09274100,0.09057300,0.12602000,0.09589600,0.09848400,0.11896200,0.09907400,0.10635600,0.10984900
11.090220,0.10044300,0.11692900,0.09109600,0.09846800,0.12810300,0.09478500,0.09944000,0.11875700,0.10024200,0.10750300,0.11576900
11.127820,0.09590300,0.11138200,0.09418600,0.10525500,0.12906500,0.09655800,0.10163800,0.11462900,0.10319200,0.10597100,0.11725500
11.165410,0.09108400,0.10737900,0.09938200,0.10651100,0.12365600,0.09909400,0.10397900,0.11268300,0.10786900,0.10244800,0.11561800
11.203010,0.08859100,0.10568400,0.10633300,0.10332000,0.11282600,0.10243600,0.10658000,0.11393200,0.11133300,0.09870300,0.11305300
11.240600,0.08580700,0.10630900,0.11458100,0.09745700,0.10213300,0.10668800,0.10813500,0.11217300,0.11208100,0.09543400,0.10999400
11.278190,0.08128800,0.10571800,0.12029000,0.09040500,0.09240900,0.11068500,0.10364500,0.10257700,0.11075900,0.09193000,0.10589300
11.315790,0.07684400,0.10521200,0.11996000,0.08448400,0.08543900,0.11229400,0.09315700,0.09069500,0.10770900,0.08948000,0.10010300
11.353380,0.07287700,0.10707500,0.11639100,0.08096900,0.08357800,0.11047200,0.08361300,0.08230700,0.10302700,0.08850000,0.09250400
11.390980,0.06981000,0.10550700,0.11182100,0.08001700,0.08590300,0.10766900,0.07872300,0.07839100,0.09764000,0.08827300,0.08515300
11.428570,0.06952100,0.09599600,0.10269700,0.08259600,0.08868800,0.10577300,0.07775700,0.07893000,0.09426900,0.08970700,0.07987300
11.466160,0.07168900,0.08426900,0.09116700,0.08825300,0.08803700,0.10186200,0.08017500,0.08274000,0.09345300,0.09317700,0.07685300
11.503760,0.07348300,0.07544600,0.08318800,0.09366600,0.08372100,0.09431200,0.08653400,0.08732800,0.09142900,0.09782400,0.07604500
11.541350,0.07451900,0.06983400,0.08037600,0.09721800,0.07875000,0.08693700,0.09546700,0.09001300,0.08607800,0.10080800,0.07783600
11.578950,0.07799000,0.06704900,0.08223200,0.10100200,0.07502800,0.08197100,0.10266300,0.08980200,0.08120800,0.09985800,0.08189800
11.616540,0.08584900,0.06707200,0.08728800,0.10641500,0.07227100,0.07965400,0.10579000,0.08807500,0.07886300,0.09693900,0.08776800
11.654130,0.09841200,0.07025300,0.09243600,0.11153200,0.07143800,0.08092100,0.10746600,0.08678400,0.07844100,0.09687800,0.09524700
11.691730,0.11579400,0.07621700,0.09620500,0.11631200,0.07398700,0.08581700,0.10918300,0.08782000,0.08042900,0.10033400,0.10304300
11.729320,0.13543500,0.08284800,0.10176800,0.11878900,0.08054400,0.09323200,0.10923600,0.09247100,0.08590700,0.10218500,0.10867200
11.766920,0.15059400,0.08831400,0.10825300,0.11418700,0.09069300,0.09940600,0.10628100,0.10000100,0.09373600,0.09922800,0.11114400
11.804510,0.15367400,0.09141700,0.11025400,0.10478500,0.10295100,0.09992100,0.10222200,0.10780000,0.10068200,0.09436600,0.11113800
11.842100,0.14597900,0.09110000,0.10824000,0.09696500,0.11772300,0.09677800,0.09877300,0.11305000,0.10560200,0.09099800,0.11038200
11.879700,0.13549000,0.09137700,0.10462400,0.09427600,0.13524700,0.09481600,0.09721700,0.11775300,0.10985400,0.09189800,0.11129000
11.917290,0.12867700,0.09664300,0.10000200,0.09703600,0.14872000,0.09610000,0.09982200,0.12511400,0.11528200,0.09763300,0.11478000
