#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       1.98699415        -18.1088524        -5.71095133        -1.71034050        -1.50578225         6.72556305         7.23227835         7.20629644         8.33551311        0.416666232E-1     0.416666195E-1      0.00000000   
       2.00916028        -18.1452236        -5.76746368        -1.55484402        -1.43384469         6.67378616         7.16541100         7.14816999         8.27213955        0.333332978E-1     0.333333015E-1      0.00000000   
       2.03132629        -18.1735649        -5.80185413        -1.44263339        -1.37455213         6.62776756         7.11870623         7.09920263         8.22612953        0.249999743E-1     0.249999724E-1      0.00000000   
       2.05349231        -18.1938400        -5.82372189        -1.36469030        -1.33031201         6.58616304         7.09303522         7.06316185         8.20069790        0.166666489E-1     0.166666508E-1      0.00000000   
       2.07565832        -18.2060165        -5.84008789        -1.31205142        -1.30540121         6.55898571         7.08025360         7.04101610         8.18436909        0.833332445E-2     0.833332539E-2      0.00000000   
       2.09782434        -18.2100792        -5.84630823        -1.29197872        -1.29868782         6.54921770         7.07676983         7.03318930         8.17692471         0.00000000         0.00000000         0.00000000     [G]
# 
# 07/27/2026 at 12:08 ypp @ compute-9-01 [start]
# 07/27/2026 at 12:08                    [end]
#
# .-Input file  GW_(QP)bands.in
# | infver                           # [R] Input file variables verbosity
# | electrons                        # [R] Electronic properties
# | bnds                             # [R] Bands
# | PROJECT_mode= "none"             # Instruct ypp how to project the DOS. ATOM, LINE, PLANE.
# | INTERP_mode= "BOLTZ"             # Interpolation mode (NN=nearest point, BOLTZ=boltztrap aproach)
# | INTERP_Shell_Fac= 20.00000       # The bigger it is a higher number of shells is used
# | INTERP_NofNN= 1                  # Number of Nearest sites in the NN method
# | OutputAlat= 0.000000             # [a.u.] Lattice constant used for "alat" ouput format
# | cooIn= "rlu"                     # Points coordinates (in) cc/rlu/iku/alat
# | cooOut= "rlu"                    # Points coordinates (out) cc/rlu/iku/alat
# | % BANDS_bands
# |   1 |  8 |                           # Number of bands
# | %
# | CIRCUIT_E_DB_path= "none"        # SAVE obtained from the QE `bands` run (alternative to %BANDS_kpts)
# | BANDS_path= " G Mmp Kpp G"       # High-Symmetry points labels (G,M,K,L...) also using composed positions (0.5xY+0.5xL).
# | BANDS_steps=  40                 # Number of divisions
# | #BANDS_built_in                # Print the bands of the generating points of the circuit using the nearest internal point
# | GfnQPdb= "E < GW0/ndb.QP"        # [EXTQP G] Database action
# | %BANDS_kpts                      # K points of the bands circuit
# |  0.000000| 0.000000| 0.000000|
# |  0.500000| 0.000000| 0.000000|
# |  0.333333| 0.333333| 0.000000|
# |  0.000000| 0.000000| 0.000000|
# | %
